ITEM,EMISSIONS_FACTOR
dell optiplex xe3 small form factor,150.255
dell optiplex 3050 tower,154.859
dell optiplex 3060 tower,34.193
dell optiplex 3070 tower,105.305
dell optiplex 3080 tower,229.274
dell optiplex xe3 tower,51.974
dell optiplex 3080 micro form factor,32.618
dell optiplex 3080 small form factor,66.918
dell optiplex 5080 micro form factor,129.671
dell optiplex 5080 small form factor,178.249
dell optiplex 7080 micro form factor,64.652
dell optiplex 3090 ultra,94.464
dell optiplex 7070 ultra,72.170
dell optiplex 7090 ultra,55.819
dell optiplex 3280 all-in-one desktop,37.798
dell optiplex 5050 micro form factor,34.221
dell optiplex 5050 small form factor,162.401
dell optiplex 5055 small form factor,155.518
dell optiplex 5060 micro form factor,65.384
dell optiplex 5060 small form factor,94.156
dell optiplex 5070 micro form factor,84.729
dell optiplex 5070 small form factor,71.417
dell optiplex 5050 tower,142.941
dell optiplex 5055 tower,176.506
dell optiplex 5060 tower,150.703
dell optiplex 5070 tower,120.138
dell optiplex 5080 tower,161.092
dell optiplex 5090 tower,76.644
dell optiplex 5270 all-in-one desktop,134.558
dell optiplex 5480 all-in-one desktop,95.165
dell optiplex 7470 all-in-one desktop,39.840
dell optiplex 7480 all-in-one desktop,158.719
dell optiplex 7770 all-in-one desktop,16.274
dell optiplex 7780 all-in-one desktop,178.525
dell optiplex 3050 all-in-one desktop,55.396
dell optiplex 5250 all-in-one desktop,137.089
dell optiplex 5260 all-in-one desktop,167.277
dell optiplex 7450 all-in-one desktop,250.658
dell optiplex 7460 all-in-one desktop,90.997
dell optiplex 7760 all-in-one desktop,64.862
dell optiplex 5490 all-in-one desktop,118.391
dell optiplex 7490 all-in-one desktop,186.707
dell optiplex 7050 micro form factor,119.886
dell optiplex 7050 small form factor,5.927
dell optiplex 7060 micro form factor,108.873
dell optiplex 7060 small form factor,65.277
dell optiplex 7070 micro form factor,105.373
dell optiplex 7070 small form factor,145.966
dell optiplex 7080 small form factor,74.068
dell optiplex 7050 tower,66.290
dell optiplex 7060 tower,31.438
dell optiplex 7070 tower,286.882
dell optiplex 7071 tower,126.501
dell optiplex 7080 tower,65.894
dell optiplex 7090 tower,208.684
dell p1917s monitor (without stand),103.216
dell p1917s monitor,214.227
dell p1917swh monitor,93.478
dell p2222h monitor,154.870
dell p2319h monitor,82.154
dell p2418d monitor,223.747
dell p2418ht monitor,230.772
dell p2418hzm monitor,13.040
dell p2421 monitor,31.326
dell p2421d monitor,302.027
dell p2421dc monitor,330.377
dell p2422he monitor,348.518
dell p2717h monitor,305.108
dell p3421w monitor,334.932
dell precision 3240 tower,117.231
dell precision 3640 tower,84.541
dell precision 3650 tower,296.599
dell precision tower 3620,191.187
dell precision tower 3630,57.830
dell precision tower 5810,444.310
dell precision tower 7810,735.294
dell precision tower 7820,737.631
dell precision tower 7910,693.681
dell precision tower 7920,348.500
dell precision 3440 small form factor,116.777
dell precision 3450 small form factor,189.938
dell precision 3510,248.915
dell precision 3520,146.461
dell precision 3530,82.132
dell precision 3550,31.588
dell precision 3551,236.167
dell precision 3560,26.247
dell precision 3561,81.039
dell precision 5520,139.651
dell precision 5530,151.728
dell precision 5550,291.869
dell precision 5560,96.206
dell precision 5760,150.629
dell precision 7560,131.275
dell s2421h monitor,274.961
dell s2421hs monitor,93.542
dell s2421hsx monitor,12.769
dell s2421nx monitor,139.605
dell s2721d monitor,336.572
dell s2721ds monitor,346.457
dell s2721h monitor,72.937
dell s2721hn monitor,248.205
dell s2721nx monitor,20.451
dell s2721q monitor,239.732
dell s2721hs monitor,310.245
dell s2721hsx monitor,343.143
dell s2721qs monitor,254.952
dell se2717h monitor,86.737
dell u2421e monitor,209.845
dell u2422h monitor,250.860
dell u2422hx monitor,24.037
dell u2422he monitor,7.314
dell u2722d monitor,344.689
dell u2722dx monitor,302.909
dell u3421we monitor,479.740
dell u3821dw monitor,282.513
dell u4021qw monitor,477.629
dell u4919dw monitor,538.070
dell xps 13 9300,92.725
dell xps 13 9310,252.181
dell xps 13 9360,144.169
dell xps 13 9370,127.359
dell xps 13 9380,118.165
dell xps159510,184.390
dell xps179710,283.160
hp 17 laptop pc,170.413
hp 256 g6 notebook pc,124.378
hp 348 g5 notebook pc,206.073
hp chromebook 14 g5,57.804
hp chromebook x360 14 g1,108.864
hp chromebook 11 g5 education edition notebook pc,94.529
hp chromebook 11 g6 education edition,117.486
hp chromebook 11 g7 education edition,65.832
hp chromebook 11 g8 education edition,162.412
hp chromebook 11a g6 ee,82.993
hp chromebook 11a g8 education edition,76.984
hp chromebook 14 g6,203.754
hp chromebook 14a g5,90.694
hp chromebook 14a,47.469
hp chromebook enterprise 11 g9 ee,165.790
hp chromebook enterprise 11mk g9 ee,109.825
hp chromebook enterprise 14 g6,204.498
hp chromebook enterprise 14 g7,32.478
hp chromebook enterprise 14a g5,70.701
hp chromebook enterprise x360 11 g4 ee,102.807
hp chromebook enterprise x360 14e g1,164.232
hp chromebook x360 11 g1 education edition,51.693
hp chromebook x360 11 g2 education edition,157.485
hp chromebook x360 11 g3 education edition,47.859
hp chromebook x360 14b,170.635
hp e22 g4,351.407
hp e24 g4 ho,71.765
hp e24 g4 ho dual,144.635
hp e24i g4 ho,326.043
hp e24i g4 wuxga monitor,48.298
hp e344c curved monitor,175.804
hp envy 17 laptop pc,33.504
hp elite folio 13.5 inch 2-in- 1notebook pc,98.446
hp elite s340c 34-in curved display,275.448
hp elite c1030 chromebook,21.275
hp elite c1030 chromebook enterprise,75.010
hp elite x2 1012 g2,24.058
hp elite x2 1012 g2 tablet,67.099
hp elite x2 g4 tablet,149.914
hp elite x2 g8,160.913
hp elitedesk 705 g4 mt workstation edition,217.616
hp elitedesk 800 g4 twr workstation edition,64.247
hp elitedisplay e243d 23.8-in monitor,293.012
hp elitedisplay s240n 23.8-in micro edge monitor,261.831
hp eliteone 1000 g1 23.8-in display,184.853
hp eliteone 1000 g1 23.8-in touch display,2.574
hp eliteone 1000 g1 27-in 4k display,224.509
hp elitepos 10,213.280
hp elitepos 10t,41.491
hp engage flex pro-c,177.949
hp engage one 14 nostand,246.735
hp engage one 14 withstand,180.231
hp engage one 14t nostand,58.476
hp engage one 14t withstand,72.921
hp engage one 16t monitor,107.437
hp engage one 16ts monitor,81.786
hp hc240 healthcare 24-inch display,159.414
hp hc270cr display,202.995
hp ld5512 uhd 4k display,480.783
hp mini-in-one 23.8-inch display,288.408
hp n220 display,67.245
hp n220b display,46.982
hp n223 21.5-inch monitor,278.011
hp n223v 22-in monitor,231.167
hp n240 23.8-in monitor,68.207
hp n246v 23.8-in monitor,136.263
hp n270 27-in monitor,188.068
hp n270c display,462.634
hp p174 17-inch monitor,151.981
hp p19b g4 monitor,200.535
hp p19v g4 monitor,265.550
hp p204 19.5-inch monitor,132.540
hp p204v 19.5-inch monitor,193.586
hp p22 g4 21.5-inch monitor,329.901
hp p224 21.5-inch monitor,149.610
hp p224y 21.5-inch monitor,228.825
hp p22h g4 21.5-inch monitor,58.835
hp p24 g4 23.8-inch monitor,142.191
hp p241v display,351.948
hp p244 23.8-inch monitor,193.833
hp p244y 23.8-inch monitor,167.410
hp p24h g4 23.8-inch monitor,137.901
hp p274 27-inch monitor,226.427
hp p34hc g4 wqhd usb-c curved monitor,120.684
hp pavilion 14 g1 notebook pc,101.673
hp pro c640 chromebook,49.458
hp pro c640 chromebook enterprise,98.233
hp pro c645 chromebook,46.754
hp pro c645 chromebook enterprise,33.060
hp pro x2 612 g2 tablet pc,73.135
hp probook 640 g7,169.396
hp probook x360 11 education edition g2,111.876
hp probook x360 11 g1 education edition,69.849
hp probook x360 11 g3 education edition,93.425
hp probook x360 11 g4 education edition,190.621
hp probook x360 11 g5 education edition,55.789
hp probook x360 11 g6 education edition,235.429
hp probook x360 11 g7 ee,88.665
hp prodisplay p203 20-inch monitor,108.669
hp prodisplay p223 21.5-inch monitor,89.252
hp prodisplay p223a 21.5-inch monitor,261.891
hp s430c 43.4â€šÃ„Ã¹ curved monitor,251.570
hp stream 11 pro g4 notebook pc education edition,91.053
hp stream 14 pro g3 notebook pc,97.300
hp v190 display,127.351
hp v194 18.5-inch monitor,278.426
hp v19b monitor,168.484
hp v214a 20.7-in monitor,68.599
hp v214b 20.7-inch monitor,225.423
hp v220 monitor,79.234
hp v22b 21.5-inch monitor,75.888
hp v244a 23.8-inch monitor,238.682
hp v24b monitor,2.803
hp v273 27-inch monitor,10.323
hp v273a 27-in monitor,58.540
hp vh24 23.8-inch monitor,173.098
hp vh240a 23.8-in monitor,190.138
hp vh27 display,230.397
hp z vr backpack g1 workstation,165.103
hp z22n g2 21.5-inch monitor,158.461
hp z22n narrow bezel ips display,39.999
hp z23n g2 23-inch monitor,75.570
hp z24f g3 fhd display,347.900
hp z24i g2 24-inch monitor,29.479
hp z24n g2 24-inch monitor,319.830
hp z24n g3 wuxga display,168.115
hp z24u g3 wuxga usb-c display,165.685
hp z24x g2 dreamcolor display,22.122
hp z25xs g3,175.980
hp z27k g3 4k usb-c display,228.637
hp z27n g2 27-inch monitor,120.970
hp z27q g3 qhd display,353.048
hp z27u g3 qhd usb-c display,29.341
hp z27x g2 qhd dreamcolor studio display,4.622
hp z27xs g3 4k dreamcolor display,177.411
hp z31x dreamcolor studio display,451.706
hp z32 4k uhd display,17.378
hp z38c 37.5-inch monitor,17.107
hp z43 42.5-inch 4k uhd display,84.695
hp zbook power g7,245.271
hp zcentral 4r workstation,179.951
hp zhan 66 pro 14 g4 notebook pc,68.420
hp zhan 66 pro 15 g3 notebook pc,219.446
hp zhan 66 pro a 14 g3 notebook pc,173.114
hp zhan 66 pro a 14 g4 notebook pc,75.305
hp zhan 99 mobile workstation g3,23.326
hp zhan x 13 g2 notebook pc,118.979
hp zbook 15 g5 mobile workstation,201.500
hp zbook 15u g4 mobile workstation,57.451
hp zbook 15u g5 mobile workstation,1.825
hp zbook 15u g6 mobile workstation,82.475
hp zbook 17 g5 mobile workstation,29.502
hp zbook studio x360 g5 convertible workstation,115.101
hp zhan 66 pro 13 g2 notebook pc,132.887
hp zhan 66 pro 14 g2 notebook pc,134.037
hp zhan 66 pro 15 g2 notebook pc,164.636
hp mt20 mobile thin client,199.548
hp mt21 mobile thin client,262.975
hp mt22 mobile thin client,232.074
hp mt31 mobile thin client,104.406
hp mt32 mobile thin client,222.264
hp mt43 mobile thin client,12.217
hp mt44,55.859
hp mt45,61.880
hp mt46 mobile thin client,26.588
hp t240 thin client,32.078
hp t310 g2 zero client,11.411
hp t430 thin client,4.568
hp t530 thin client,24.094
hp t540 thin client,17.127
hp t640 thin client,9.993
hp t740 thin client,7.283
hp e14 g4 portable monitor,261.973
hp p21b g4 fhd monitor,117.608
hp p21v g4 fhd monitor,223.871
hp p22v g4 fhd monitor,287.388
hp p24v g4 fhd monitor,253.272
hp p27h g4 27-inch monitor,329.834
hp z27 4k uhd 27-in monitor,144.097
hp 240 g6 notebook pc,183.734
hp 240 g7 notebook pc,52.402
hp 240 g8 notebook pc,70.051
hp 246 g8 notebook pc,238.953
hp 256 g8 notebook pc,23.903
hp 340 g5 notebook pc,178.279
hp 340 g7 notebook pc,32.009
hp 470 g8 notebook pc,29.807
hp elitebook 1050 g1 notebook pc,102.044
hp elitebook 820 g4 notebook pc,31.064
hp elitebook 840 g4 notebook pc,130.421
hp elitebook 840 g5 notebook pc,93.205
hp elitebook 840 g6 notebook pc,159.734
hp elitebook 840 g8 notebook pc,17.610
hp elitebook 846 g6 notebook pc,162.686
hp elitebook 850 g4 notebook pc,66.134
hp elitebook 850 g5 notebook pc,178.613
hp elitebook 850 g7 notebook pc,110.931
hp elitebook 850 g8 notebook pc,217.073
hp 245 g6 notebook pc,74.261
hp 245 g7 notebook pc,45.450
hp 245 g8 notebook pc,87.832
hp elitebook 725 g4 notebook pc,26.036
hp elitebook 745 g4 notebook pc,103.499
hp elitebook 745 g5 notebook pc,181.357
hp elitebook 745 g6 notebook pc,200.851
hp elitebook 755 g4 notebook pc,56.610
hp elitebook 755 g5 notebook pc,102.942
hp elitebook 845 g7 notebook pc,136.558
hp elitebook 845 g8 notebook pc,259.171
hp elitebook 855 g7 notebook pc,256.402
hp elitebook 855 g8 notebook pc,60.801
hp 250 g6 notebook pc,174.199
hp 250 g8 notebook pc,180.567
hp probook 450 g5 notebook pc,55.273
hp probook 450 g6 notebook pc,134.902
hp probook 450 g7 notebook pc,8.767
hp probook 450 g8,17.735
hp probook 470 g5 notebook pc,91.345
hp probook 650 g3 notebook pc,37.667
hp probook 650 g4 notebook pc,97.461
hp probook 650 g5 notebook pc,178.101
hp probook 650 g7 notebook pc,173.344
hp probook 650 g8 notebook pc,37.988
hp 250 g7 notebook pc,15.425
hp 255 g7 notebook pc,49.109
hp 340s g7 notebook pc,46.496
hp 348 g7 notebook pc,155.139
hp 470 g7 notebook pc,213.296
hp zbook create g7 notebook pc,255.286
hp 255 g6 notebook pc,130.930
hp 255 g8 notebook pc,17.403
hp probook 455 g5 notebook pc,145.064
hp probook 455 g8 notebook pc,167.131
hp probook 455r g6 notebook pc,152.186
hp probook 655 g3 notebook pc,37.972
hp chromebook x360 14c notebook pc,215.924
hp elitebook 1040 g4 notebook pc,53.210
hp elitebook x360 1020 g2 notebook pc,89.539
hp elitebook x360 1030 g2 notebook pc,16.233
hp elitebook x360 1030 g3 notebook pc,12.266
hp elitebook x360 1030 g4 notebook pc,122.346
hp elitebook x360 1030 g7 notebook pc,140.254
hp elitebook x360 1030 g8 notebook pc,171.217
hp elitebook x360 1040 g5 notebook pc,73.631
hp elitebook x360 1040 g6 notebook pc,17.688
hp elitebook x360 1040 g7 notebook pc,126.191
hp elitebook x360 1040 g8 notebook pc,51.092
hp elitebook x360 830 g7,12.639
hp elitebook x360 830 g8,129.443
hp e22 g4 fhd monitor,33.930
hp e23 g4 fhd monitor,353.502
hp e24 g4 fhd monitor,108.533
hp e24t g4 fhd touch monitor,316.949
hp e27 g4 fhd monitor,283.793
hp e24q g4 qhd monitor,27.426
hp e24u g4 fhd usb-c monitor,238.315
hp e27q g4 qhd monitor,388.872
hp e27u g4 qhd usb-c monitor,106.550
hp envy x360 15 convertible pc,13.279
hp elite dragonfly g2 notebook pc,89.574
hp elite dragonfly notebook pc,51.868
hp elitebook 735 g5 notebook pc,62.273
hp elitebook 735 g6 notebook pc,255.989
hp elitebook 835 g7 notebook pc,171.058
hp elitebook 835 g8 notebook pc,229.568
hp elitebook 830 g5 notebook pc,145.990
hp elitebook 830 g6 notebook pc,215.303
hp elitebook 830 g7,65.752
hp elitebook 830 g8 notebook pc,185.193
hp elitebook 836 g6 notebook pc,33.653
hp elitebook x360 830 g5 notebook pc,182.713
hp elitebook x360 830 g6 notebook pc,92.159
hp elitebook 840 aero g8 notebook pc,51.070
hp elitebook 840 g7,184.259
hp elitebook 850 g6,71.925
hp elitedisplay e223 21.5-inch monitor,146.330
hp elitedisplay e223d 21.5-inch docking monitor,211.335
hp elitedisplay e233 23-inch monitor,309.208
hp elitedisplay e243 23.8-inch monitor,72.071
hp elitedisplay e243m 23.8-in monitor,103.825
hp elitedisplay e243p monitor,211.440
hp elitedisplay e273 27-in monitor,247.305
hp elitedisplay e273d monitor,121.716
hp elitedisplay e273m 27-in monitor,142.013
hp elitedisplay e273q 27-in monitor,224.045
hp elitedisplay e324q 32-inch monitor,96.268
hp elitedisplay e243i 24-inch monitor,90.654
hp elitedisplay s270n monitor,273.535
hp s14 portable display,197.974
hp pavilion x360 14 convertible pc,140.406
hp pavilion x360 15 convertible pc,66.412
hp probook 430 g5 notebook pc,5.644
hp probook 430 g6 notebook pc,79.767
hp probook 430 g7 notebook pc,90.058
hp probook 430 g8,55.323
hp probook 630 g8 notebook pc,15.354
hp probook x360 435 g8 notebook pc,3.188
hp probook 440 g5 notebook pc,72.242
hp probook 440 g6 notebook pc,145.955
hp probook 440 g7 notebook pc,165.981
hp probook 440 g8,5.606
hp probook 640 g3 notebook pc,38.009
hp probook 640 g4 notebook pc,160.279
hp probook 640 g5 notebook pc,87.357
hp probook 640 g8 notebook pc,129.704
hp probook x360 440 g1,161.032
hp probook 445 g7 notebook pc,55.629
hp probook 445 g8 notebook pc,133.323
hp probook 445r g6 notebook pc,39.136
hp probook 645 g3 notebook pc,129.772
hp probook 645 g4 notebook pc,182.174
hp probook 635 aero g7 notebook pc,244.579
hp probook 635 aero g8 notebook pc,79.945
hp spectre x360 13 convertible pc,104.232
hp spectre x360 14 convertible pc,39.120
hp spectre x360 15 convertible pc,107.806
hp z1 entry tower g8,103.062
hp z2 mini g3 workstation,171.002
hp z2 mini g5 workstation,3.043
hp z2 tower g5 workstation,359.662
hp z2 tower g8,131.186
hp z2 mini g4 workstation,266.549
hp z4 g4 workstation,350.501
hp z6 g4 workstation,337.747
hp z8 g4 workstation,441.894
hp z2 sff g4 workstation,128.862
hp z2 sff g5 workstation,232.872
hp z2 sff g8,147.449
hp zbook firefly 14 g7 mobile workstation,15.320
hp zbook firefly 14 g8 notebook pc,185.862
hp zbook firefly 15 g7 mobile workstation,186.159
hp zbook firefly 15 g8 notebook pc,86.920
hp zbook 14u g4 mobile workstation,8.014
hp zbook 14u g5 mobile workstation,109.230
hp zbook 14u g6 mobile workstation,180.780
hp zbook x2 mobile workstation,65.819
hp zbook fury 15 g7,210.439
hp zbook 15 g4 mobile workstation,44.624
hp zbook 15 g6 mobile workstation,41.388
hp zbook fury 17 g7,239.753
hp zbook 17 g4 mobile workstation,237.281
hp zbook 17 g6 mobile workstation,82.903
hp zbook studio g7 mobile workstation,177.252
hp zbook studio g4 mobile workstation,129.438
hp zbook studio g5 mobile workstation,44.103
